方向编号,方向,序号,标题,作者,出处,年份,国别,被引,DOI,OpenAlexID
D4,水产动物病害智能诊断与健康评估,12,Empirical Evaluation of Deep Learning Techniques for Fish Disease Detection in Aquaculture Systems: A Transfer Learning and Fusion-Based Approach,"Subir Biswas, Debendra Muduli, Md Ariful Islam, Anuradha Kanade, Abu Taha Zamani, Shantanu Kanade, Nikhat Parveen",IEEE Access,2024,国外,30,10.1109/access.2024.3504283,W4404563145
D4,水产动物病害智能诊断与健康评估,13,Multi-object detection and behavior tracking of sea cucumbers with skin ulceration syndrome based on deep learning,"Fengli Ge, Kui Xuan, Peng Lou, Juan Li, Lingxu Jiang, Jia-Sheng Wang, Qi Lin",Frontiers in Marine Science,2024,国内,6,10.3389/fmars.2024.1365155,W4393155240
D4,水产动物病害智能诊断与健康评估,14,SHRIMPAI: A Mobile Application for the Early Detection of White Spot Syndrome Virus in Shrimp Using Convolutional Neural Network,"Marylene S. Eder, Kenneth C. Ampolitod, Narbie H. Bolao, Randyl Joy A. Pajal, Erika May D. Racho",Mindanao Journal of Science and Technology,2024,国外,2,10.61310/mjst.v22i2.2189,W4406774145
D4,水产动物病害智能诊断与健康评估,15,Emerging technologies revolutionising disease diagnosis and monitoring in aquatic animal health,"Kailash Bohara, Pabitra Joshi, Krishna Prasad Acharya, Grace Ramena",Reviews in Aquaculture,2023,国外,68,10.1111/raq.12870,W4388015873
D4,水产动物病害智能诊断与健康评估,16,Research progress of computer vision technology in abnormal fish detection,"Chunhong Liu, Zhiyong Wang, Yachao Li, Zhenzuo Zhang, Jiawei Li, Xu Chen, Rongxiang Du, Daoliang Li, Qingling Duan",Aquacultural Engineering,2023,国内,63,10.1016/j.aquaeng.2023.102350,W4385455667
D4,水产动物病害智能诊断与健康评估,17,Detection and Identification of Fish Skin Health Status Referring to Four Common Diseases Based on Improved YOLOv4 Model,"Gangyi Yu, Junbo Zhang, Ao Chen, Rong Wan",Fishes,2023,国内,48,10.3390/fishes8040186,W4362474433
D4,水产动物病害智能诊断与健康评估,18,Advanced Techniques for the Intelligent Diagnosis of Fish Diseases: A Review,"Daoliang Li, Xin Li, Qi Wang, Yinfeng Hao",Animals,2022,国内,109,10.3390/ani12212938,W4307291335
D4,水产动物病害智能诊断与健康评估,19,Moving towards improved surveillance and earlier diagnosis of aquatic pathogens: From traditional methods to emerging technologies,"Scott MacAulay, Amy Ellison, Peter Kille, Jo Cable",Reviews in Aquaculture,2022,国外,99,10.1111/raq.12674,W4220991231
D5,边缘智能与轻量化模型部署（养殖物联网）,1,"Edge Computing-Enabled Smart Agriculture: Technical Architectures, Practical Evolution, and Bottleneck Breakthroughs","Ran Gong, Hongyang Zhang, Gang Li, Jiamin He",Sensors,2025,国内,75,10.3390/s25175302,W4413641431
D5,边缘智能与轻量化模型部署（养殖物联网）,2,"Cloud–edge–device collaborative computing in smart agriculture: architectures, applications, and future perspectives","Pengpeng Yu, Fei Teng, Wenhui Zhu, Chaoping Shen, Zhenping Chen, Jinxiu Song",Frontiers in Plant Science,2025,国内,73,10.3389/fpls.2025.1668545,W4415172590
D5,边缘智能与轻量化模型部署（养殖物联网）,3,"Smart technologies in aquaculture: An integrated IoT, AI, and blockchain framework for sustainable growth","Prince Jebedass Isaac Chandran, Hana Ahmed Khalil, PK Hashir, S Veerasingam",Aquacultural Engineering,2025,国外,34,10.1016/j.aquaeng.2025.102584,W4411227635
D5,边缘智能与轻量化模型部署（养殖物联网）,4,Research Status and Development Trends of Artificial Intelligence in Smart Agriculture,"Cui Ge, Guangjian Zhang, Yijie Wang, Dandan Shao, Xiangjin Song, Zhaowei Wang",Agriculture,2025,国内,33,10.3390/agriculture15212247,W4415625372
D5,边缘智能与轻量化模型部署（养殖物联网）,5,A Narrative Review on Smart Sensors and IoT Solutions for Sustainable Agriculture and Aquaculture Practices,"Liwei Liu, Winton Cheng, Hsin‐Wei Kuo",Sustainability,2025,国外,26,10.3390/su17125256,W4411092850
D5,边缘智能与轻量化模型部署（养殖物联网）,6,Real-time rapid visual fish disease detection system based on tiny machine learning,"Jiayi Wang, Yihan Yin, Jinqi Yang, Feiyu Zhu, Daoliang Li, Yang Wang",Aquaculture International,2025,国内,6,10.1007/s10499-025-02256-6,W4415019914
D5,边缘智能与轻量化模型部署（养殖物联网）,7,Design and Implementation of a Cost-Effective IoT-Based Monitoring and Alerting System for Recirculating Aquaculture Systems (RAS),Emmanouil E. Malandrakis,Sensors,2025,国外,6,10.3390/s25216692,W4415820017
D5,边缘智能与轻量化模型部署（养殖物联网）,8,UOD-YOLO: a lightweight real-time model for detecting marine organisms,"Yijie Xi, Jingbo Yin",Frontiers in Marine Science,2025,国内,4,10.3389/fmars.2025.1728563,W4417416306
D5,边缘智能与轻量化模型部署（养殖物联网）,9,A review of the application prospects of cloud-edge-end collaborative technology in freshwater aquaculture,"Jihao Wang, Xiaochan Wang, Yinyan Shi, Haihui Yang, Bo Jia, Xiaolei Zhang, Lebin Lin",Artificial Intelligence in Agriculture,2025,国内,2,10.1016/j.aiia.2025.02.008,W4408149023
D5,边缘智能与轻量化模型部署（养殖物联网）,10,How the internet of things technology improves agricultural efficiency,"Amenu Leta Duguma, Xiuguang Bai",Artificial Intelligence Review,2024,国内(合作),111,10.1007/s10462-024-11046-0,W4405660177
D5,边缘智能与轻量化模型部署（养殖物联网）,11,Achieving the Rewards of Smart Agriculture,"Jian Zhang, Dawn E. Trautman, Yingnan Liu, Chunguang Bi, Wei Chen, Lijun Ou, Randy Goebel",Agronomy,2024,国内(合作),23,10.3390/agronomy14030452,W4392162769
D5,边缘智能与轻量化模型部署（养殖物联网）,12,A lightweight underwater fish image semantic segmentation model based on U‐Net,"Zhenkai Zhang, Wanghua Li, Boon‐Chong Seet",IET Image Processing,2024,国内,12,10.1049/ipr2.13161,W4400054566
D5,边缘智能与轻量化模型部署（养殖物联网）,13,Improved YOLOv5 Algorithm for Real-Time Prediction of Fish Yield in All Cage Schools,"Lei Wang, Lingzhi Chen, Bo Peng, Ying‐Tien Lin",Journal of Marine Science and Engineering,2024,国内,12,10.3390/jmse12020195,W4391139596
D5,边缘智能与轻量化模型部署（养殖物联网）,14,Empowered edge intelligent aquaculture with lightweight Kubernetes and GPU-embedded,"Halim Fathoni, Chao‐Tung Yang, Chin‐Yin Huang, Chien‐Yi Chen",Wireless Networks,2024,国外,9,10.1007/s11276-023-03592-2,W4390640254
D5,边缘智能与轻量化模型部署（养殖物联网）,15,The Path to Smart Farming: Innovations and Opportunities in Precision Agriculture,"E. M. B. M. Karunathilake, Anh Tuan Le, Seong Heo, Yong Suk Chung, Sheikh Mansoor",Agriculture,2023,国外,774,10.3390/agriculture13081593,W4385759708
D5,边缘智能与轻量化模型部署（养殖物联网）,16,"IoT-Equipped and AI-Enabled Next Generation Smart Agriculture: A Critical Review, Current Challenges and Future Trends","Sameer Qazi, Bilal A. Khawaja, Qazi Umar Farooq",IEEE Access,2022,国外,408,10.1109/access.2022.3152544,W4213119020
D5,边缘智能与轻量化模型部署（养殖物联网）,17,An improved algae-YOLO model based on deep learning for object detection of ocean microalgae considering aquacultural lightweight deployment,"Dan Liu, Pengqi Wang, Yuan Cheng, Hai Bi",Frontiers in Marine Science,2022,国内,29,10.3389/fmars.2022.1070638,W4309739659
D5,边缘智能与轻量化模型部署（养殖物联网）,18,From Smart Farming towards Unmanned Farms: A New Mode of Agricultural Production,"Tan Wang, Xianbao Xu, Cong Wang, Zhen Li, Daoliang Li",Agriculture,2021,国内,133,10.3390/agriculture11020145,W3126746857
D6,多模态大模型与海洋渔业知识智能,1,Large language models for sustainable water management: A review,"Muhammad Arslan, Saba Munawar",Sustainable Cities and Society Advances,2026,国外,3,10.1016/j.scsadv.2026.100044,W7133121485
D6,多模态大模型与海洋渔业知识智能,2,FMRAG: retrieval-augmented multimodal large language models for fisheries intelligence,"Yao Song, Chunli Lv, Kun Zhu",Frontiers in Marine Science,2026,国内,1,10.3389/fmars.2026.1801835,W7154727408
D6,多模态大模型与海洋渔业知识智能,3,🧜Siren’s Song in the AI Ocean: A Survey on Hallucination in Large Language Models,"Yue Zhang, Yafu Li, Leyang Cui, Cai Deng, Lemao Liu, Tingchen Fu, Xinting Huang, Enbo Zhao, Yanwen Zhang, Yulong Chen, Longyue Wang, Ahn Tuan Luu",Computational Linguistics,2025,国内(合作),230,10.1162/coli.a.16,W4412158322
D6,多模态大模型与海洋渔业知识智能,4,Integrating Artificial Intelligence Agents with the Internet of Things for Enhanced Environmental Monitoring: Applications in Water Quality and Climate Data,"Tymoteusz Miller, Irmina Durlik, Ewelina Kostecka, Polina Kozlovska, Adrianna Łobodzińska, S. Sokołowska, Agnieszka Nowy",Electronics,2025,国外,190,10.3390/electronics14040696,W4407389811
D6,多模态大模型与海洋渔业知识智能,5,"Towards domain-adapted large language models for water and wastewater management: methods, datasets and benchmarking","Boyan Xu, Guanlan Wu, Zihao Li, Guangming Xu, Huabin Zeng, Rui Tong, How Yong Ng",npj Clean Water,2025,国内,19,10.1038/s41545-025-00509-8,W4413676832
D6,多模态大模型与海洋渔业知识智能,6,Underwater image enhancement by diffusion model with customized CLIP-classifier,"Shuaixin Liu, Kunqian Li, Yilin Ding, Qi Qi",Pattern Recognition,2025,国内,19,10.1016/j.patcog.2025.112232,W4413244761
D6,多模态大模型与海洋渔业知识智能,7,Assessing Large Multimodal Models for Urban Floodwater Depth Estimation,"Heng Lyu, Shunan Zhou, Ze Wang, Guangtao Fu, Chi Zhang",Water Resources Research,2025,国内,16,10.1029/2024wr039494,W4409375358
D6,多模态大模型与海洋渔业知识智能,8,FishDetectLLM: Multimodal instruction tuning with large language models for fish detection,"Jiaxin Zhu, Shibai Yin, Xin Liu, Xingyang Wang, Yee‐Hong Yang",Knowledge-Based Systems,2025,国外,10,10.1016/j.knosys.2025.113418,W4409424225
D6,多模态大模型与海洋渔业知识智能,9,Comprehensive Fish Feeding Management in Pond Aquaculture Based on Fish Feeding Behavior Analysis Using a Vision Language Model,Divas Karimanzira,Aquaculture Journal,2025,国外,4,10.3390/aquacj5030015,W4413950200
D6,多模态大模型与海洋渔业知识智能,10,CLIP-AFIR: A Contrastive Language-Image Pretraining Model for Accurate Fish Individual Fine-grained Re-identification,"Jianing Quan, Can Wang, Yunchen Tian",Aquaculture,2025,国内,3,10.1016/j.aquaculture.2025.742885,W4412031415
D6,多模态大模型与海洋渔业知识智能,11,MS-LIP: Multiscale Semantic Information Integration With Large Language Models for Marine Prediction,"Caichao Lv, Ning Song, Jie Nie, Min Ye, Xinyue Liang, Xiong Liu, Jun Ma",IEEE Transactions on Geoscience and Remote Sensing,2025,国内,3,10.1109/tgrs.2025.3588151,W4412404216
D6,多模态大模型与海洋渔业知识智能,12,Underwater fish image recognition based on knowledge graphs and semi-supervised learning feature enhancement,"Fengwei Zhang, Jing Hu, YingZe Sun",Scientific Reports,2025,国内,2,10.1038/s41598-025-29396-2,W4416563684
D6,多模态大模型与海洋渔业知识智能,13,WaterGPT: Training a Large Language Model to Become a Hydrology Expert,"Yi Ren, Tianyi Zhang, Xurong Dong, Weibin Li, Zhiyang Wang, Jie He, Hanzhi Zhang, Licheng Jiao",Water,2024,国内,42,10.3390/w16213075,W4403842350
D6,多模态大模型与海洋渔业知识智能,14,Application of Large Language Models and Assessment of Their Ship-Handling Theory Knowledge and Skills for Connected Maritime Autonomous Surface Ships,"Dashuai Pei, Jianhua He, Kezhong Liu, Mozi Chen, Shengkai Zhang",Mathematics,2024,国内,20,10.3390/math12152381,W4401170713
D6,多模态大模型与海洋渔业知识智能,15,FishAI : Automated hierarchical marine fish image classification with vision transformer,"Cheng‐Han Yang, Peng Zhou, Chunsheng Wang, Ge‐Yi Fu, Xue‐Wei Xu, Zhibin Niu, Lin Zhu, Ye Yuan, Hong‐Bin Shen, Xiaoyong Pan",Engineering Reports,2024,国内,10,10.1002/eng2.12992,W4401920746
D6,多模态大模型与海洋渔业知识智能,16,Brain-inspired multimodal approach for effluent quality prediction using wastewater surface images and water quality data,"Junchen Li, Sijie Lin, Liang Zhang, Yuheng Liu, Yongzhen Peng, Qing Hu",Frontiers of Environmental Science & Engineering,2023,国内,18,10.1007/s11783-024-1791-x,W4389575529
D6,多模态大模型与海洋渔业知识智能,17,Revealing the Current Situation and Strategies of Marine Ranching Development in China Based on Knowledge Graphs,"Yonghe Chen, Yong-Jing Chen, Zhang Yue-ping, Ta-Jen Chu",Water,2023,国内,14,10.3390/w15152740,W4385421797
